N,M,mean_s,std_s
279,1,0.0030037363333333335,0.0020302441420490132
279,2,0.0033270276666666665,0.0015424641829956164
279,3,0.0017349720000000002,1.3629807038619438E-4
279,4,0.0011159306666666668,2.1669824557050143E-5
279,5,9.801393333333335E-4,4.952295474154724E-5
279,6,7.307640000000001E-4,6.801820705517017E-5
279,7,5.971806666666667E-4,8.15105693841807E-5
279,8,7.500416666666667E-4,4.35682978511134E-4
279,9,3.9875E-4,9.587759853062634E-6
279,10,3.521113333333333E-4,2.6087483518602038E-5
279,11,3.3480566666666667E-4,1.725739106392774E-5
279,12,3.31486E-4,2.9157368605551517E-5
279,13,2.831803333333334E-4,6.757232076326313E-6
1116,1,0.007652888666666667,1.7715410685144556E-4
1116,2,0.022440681,4.893872201304407E-4
1116,3,0.015278708666666667,4.627098491196545E-4
1116,4,0.010796403333333334,6.022038092882957E-4
1116,5,0.008863305333333333,3.864214921045849E-4
1116,6,0.006757528,4.156301321210964E-4
1116,7,0.005051528,2.8010180597954005E-4
1116,8,0.00422575,2.1868688375163234E-4
1116,9,0.003549653,3.7977092781833635E-4
1116,10,0.0030470553333333335,6.521532447464567E-5
1116,11,0.0026670553333333334,1.0960506738437489E-4
1116,12,0.0024632223333333337,5.689992900991477E-5
1116,13,0.0022907776666666667,1.716981426379835E-4
