N,mean_free_s,std_free_s
10,8.452251999999999E-4,0.0017064544089317767
15,5.939179999999999E-5,1.5785453531653756E-5
24,7.26834E-5,4.977506082366949E-6
36,1.070082E-4,1.2162859684301224E-5
56,1.3539999999999998E-4,1.3895123802974918E-5
85,2.058916E-4,1.6694519109576044E-5
131,3.126584E-4,1.380158158690518E-5
201,6.248832E-4,9.403577523315263E-5
308,6.813254E-4,2.6837374666181487E-4
474,7.24325E-4,1.1263401249622601E-4
727,0.0014973834000000003,1.059634677226071E-4
1116,0.0029628830000000004,5.13190322591434E-4

N,mean_fixed_density_s,std_fixed_density_s,rho=0.3275
131,1.1665E-4,5.486965419519245E-5
201,2.0069140000000002E-4,4.771456155933951E-5
308,3.621416E-4,3.075675992038173E-5
474,5.925918E-4,9.501218955586698E-5
727,9.525581999999999E-4,1.330256300706748E-4
1116,0.0021271082,2.7666747714756785E-4
